year,district,soybean_yield_kg_ha,cotton_lint_yield_kg_ha
2000,Amravati,175.0,533.0
2001,Amravati,157.0,662.0
2002,Amravati,200.0,668.0
2003,Amravati,,692.0
2004,Amravati,400.0,544.0
2005,Amravati,450.0,677.0
2006,Amravati,700.0,631.0
2007,Amravati,700.0,849.0
2008,Amravati,,639.0
2009,Amravati,,952.0
2010,Amravati,1626.0,700.0
2011,Amravati,1257.0,822.0
2012,Amravati,1525.0,946.0
2013,Amravati,963.0,72.0
2014,Amravati,346.0,170.0
2016,Amravati,993.0,682.0
2017,Amravati,,1038.0
2018,Amravati,,507.8
2019,Amravati,833.3,283.4
2020,Amravati,923.0,456.0
2021,Amravati,1046.2,381.4
2022,Amravati,705.9,241.4
2023,Amravati,1634.9,581.8
2024,Amravati,1797.6,572.0
2025,Amravati,622.6,508.6
2000,Chandrapur,,389.0
2001,Chandrapur,,589.0
2002,Chandrapur,450.0,355.0
2003,Chandrapur,1188.0,456.0
2004,Chandrapur,,320.0
2005,Chandrapur,350.0,424.0
2006,Chandrapur,335.0,439.0
2007,Chandrapur,300.0,564.0
2008,Chandrapur,,494.0
2009,Chandrapur,,723.0
2010,Chandrapur,1002.0,638.0
2011,Chandrapur,884.0,576.0
2012,Chandrapur,1021.0,853.0
2013,Chandrapur,622.0,
2014,Chandrapur,510.0,198.0
2015,Chandrapur,,68.0
2016,Chandrapur,274.0,626.0
2017,Chandrapur,,1038.0
2018,Chandrapur,,357.6
2019,Chandrapur,877.0,408.2
2020,Chandrapur,856.0,415.0
2021,Chandrapur,1467.9,388.6
2022,Chandrapur,1245.2,493.4
2023,Chandrapur,482.8,406.9
2024,Chandrapur,1231.5,538.5
2025,Chandrapur,441.4,417.8
2000,Wardha,300.0,926.0
2001,Wardha,650.0,1006.0
2002,Wardha,450.0,1129.0
2003,Wardha,,1092.0
2004,Wardha,350.0,739.0
2005,Wardha,700.0,849.0
2006,Wardha,400.0,561.0
2007,Wardha,300.0,911.0
2008,Wardha,,615.0
2009,Wardha,,394.0
2010,Wardha,1100.0,984.0
2011,Wardha,871.0,897.0
2012,Wardha,1068.0,1107.0
2013,Wardha,656.0,59.0
2014,Wardha,435.0,151.0
2015,Wardha,,70.0
2016,Wardha,,570.0
2017,Wardha,,1038.0
2018,Wardha,,458.4
2019,Wardha,1304.2,467.5
2020,Wardha,541.0,415.0
2021,Wardha,1618.1,505.1
2022,Wardha,1191.2,418.1
2023,Wardha,932.1,567.7
2024,Wardha,1451.5,462.4
2025,Wardha,343.8,443.9
2000,Yavatmal,230.0,831.0
2001,Yavatmal,207.0,862.0
2002,Yavatmal,200.0,749.0
2003,Yavatmal,1449.0,710.0
2004,Yavatmal,200.0,540.0
2005,Yavatmal,400.0,698.0
2006,Yavatmal,450.0,871.0
2007,Yavatmal,500.0,929.0
2008,Yavatmal,,563.0
2009,Yavatmal,,616.0
2010,Yavatmal,1376.0,808.0
2011,Yavatmal,1346.0,927.0
2012,Yavatmal,1643.0,1075.0
2013,Yavatmal,548.0,75.0
2014,Yavatmal,319.0,116.0
2015,Yavatmal,,67.0
2016,Yavatmal,2824.0,1160.0
2017,Yavatmal,,1038.0
2018,Yavatmal,,312.3
2019,Yavatmal,822.5,198.5
2020,Yavatmal,1000.0,274.0
2021,Yavatmal,1005.7,258.9
2022,Yavatmal,816.2,207.2
2023,Yavatmal,1301.5,389.6
2024,Yavatmal,1558.4,290.6
2025,Yavatmal,873.7,304.4
