year,district,soybean_yield_kg_ha,cotton_lint_yield_kg_ha,soybean_area_ha,cotton_area_ha,arhar_tur_yield_kg_ha,groundnut_yield_kg_ha,jowar_yield_kg_ha,maize_yield_kg_ha,moonggreen_gram_yield_kg_ha,rice_yield_kg_ha,urad_yield_kg_ha,arhar_tur_area_ha,groundnut_area_ha,jowar_area_ha,maize_area_ha,moonggreen_gram_area_ha,rice_area_ha,urad_area_ha
2000,Amravati,690.0,81.6,180300.0,309100.0,680.0,710.0,1430.0,1000.0,400.0,490.0,320.0,99600.0,6500.0,118700.0,800.0,61600.0,8900.0,9700.0
2001,Amravati,940.0,118.99999999999999,153200.0,324600.0,870.0,1000.0,1400.0,2560.0,360.0,940.0,370.0,95500.0,3400.0,109000.0,900.0,65900.0,10300.0,8300.0
2002,Amravati,960.0,147.9,156500.0,279000.0,950.0,580.0,1400.0,2000.0,330.0,650.0,300.0,93300.0,2400.0,102900.0,900.0,76500.0,11000.0,9100.0
2003,Amravati,1390.0,173.4,155000.0,266600.0,890.0,760.0,1430.0,2170.0,400.0,590.0,590.0,97500.0,1700.0,100200.0,1200.0,69500.0,10200.0,9500.0
2004,Amravati,480.0,136.0,167100.0,268200.0,770.0,790.0,960.0,1210.0,210.0,440.0,320.0,90900.0,1400.0,92800.0,1400.0,57200.0,9600.0,7800.0
2005,Amravati,1130.0,147.9,181200.0,256400.0,850.0,770.0,1320.0,1650.0,200.0,490.0,200.0,92800.0,1300.0,94100.0,1700.0,58600.0,10200.0,6000.0
2006,Amravati,1490.0,151.3,216700.0,241800.0,790.0,690.0,1180.0,1630.0,270.0,540.0,370.0,95400.0,1300.0,94700.0,1600.0,66300.0,8500.0,4900.0
2007,Amravati,1700.0,341.7,285800.0,175400.0,1070.0,880.0,1360.0,3180.0,360.0,830.0,380.0,84800.0,1600.0,77900.0,1700.0,74100.0,6300.0,8100.0
2008,Amravati,330.0,270.3,373000.0,116100.0,840.0,380.0,910.0,3000.0,130.0,400.0,100.0,94400.0,1300.0,40300.0,1500.0,43900.0,4500.0,5800.0
2009,Amravati,810.0,292.4,317600.0,179400.0,980.0,630.0,1070.0,2210.0,360.0,1440.0,410.0,102100.0,800.0,49100.0,1400.0,37100.0,4300.0,3700.0
