district,taluka,revenue_circle,lat,lon,year,ET_mean_mm8d,ET_anom_mm8d,SMAP_sm_mean,SMAP_sm_anom,SAR_VH_mean_dB,SAR_CR_mean_dB
Yavatmal,Arni,Anjankhed,19.9550563,77.9935741,2021,22.636700626548595,0.4308232963292882,0.3391035985953438,0.0124841383808691,-15.12690175256426,-7.859074671601908
Yavatmal,Arni,Anjankhed,19.9550563,77.9935741,2022,22.045374189436195,-0.1605031407831045,0.336115069915903,0.0094956097014286,-15.846875821937871,-8.16669295627997
Yavatmal,Arni,Anjankhed,19.9550563,77.9935741,2023,21.29509590360484,-0.9107814266144676,0.3109295481862473,-0.0156899120282274,-15.674919167521962,-8.062088609793953
Yavatmal,Arni,Anjankhed,19.9550563,77.9935741,2024,22.23530605064789,0.0294287204285774,0.3336607237555182,0.0070412635410436,-15.184734945481711,-7.988088286868573
Yavatmal,Arni,Anjankhed,19.9550563,77.9935741,2025,22.93373306684433,0.7278557366250215,0.3381383163245256,0.0115188561100508,-15.222621755188255,-8.259398436678524
Yavatmal,Arni,Anjankhed,19.9550563,77.9935741,2018,,,0.3159753554085379,-0.0106441048059367,-15.46821772975018,-7.909531116421078
Yavatmal,Arni,Anjankhed,19.9550563,77.9935741,2019,,,0.3161253293403344,-0.0104941308741401,-15.714017865347753,-8.228379718911873
Yavatmal,Arni,Anjankhed,19.9550563,77.9935741,2020,,,0.3345155379219799,0.0078960777075052,-14.799015571054024,-7.896689941832047
Yavatmal,Arni,Arni,20.0538582,77.9942367,2018,,,0.3110381955672069,-0.0106291762236124,-16.04631396216967,-8.046925825414059
Yavatmal,Arni,Arni,20.0538582,77.9942367,2019,,,0.3096530613255736,-0.0120143104652458,-16.150573305688923,-8.49352418955312
Yavatmal,Arni,Arni,20.0538582,77.9942367,2020,,,0.3313831312015619,0.0097157594107424,-15.320760562760569,-7.981458644107534
Yavatmal,Arni,Arni,20.0538582,77.9942367,2021,21.607952703347,0.0558627473613942,0.3323278645614134,0.0106604927705941,-15.219471763388398,-7.805293816825289
Yavatmal,Arni,Arni,20.0538582,77.9942367,2022,21.464731201593494,-0.0873587543920994,0.3308391436493876,0.0091717718585681,-15.91871788995795,-8.317581062730675
Yavatmal,Arni,Arni,20.0538582,77.9942367,2023,20.685237361545372,-0.866852594440235,0.3076215398478816,-0.0140458319429378,-16.143206026702952,-8.452562295505338
Yavatmal,Arni,Arni,20.0538582,77.9942367,2024,21.546535560317785,-0.0055543956678196,0.3291558713692439,0.0074884995784246,-15.591870297827194,-8.284775389625475
Yavatmal,Arni,Arni,20.0538582,77.9942367,2025,22.64824017706132,1.096150221075717,0.3321359291096543,0.0104685573188349,-15.657683000089152,-8.598960115650769
Yavatmal,Arni,Borgaon,20.5209133,78.0791852,2018,,,0.3132535758677744,-0.0073718313771952,-16.9116223308279,-8.311078929804141
Yavatmal,Arni,Borgaon,20.5209133,78.0791852,2019,,,0.3198207954061729,-0.0008046118387969,-16.97868545724357,-8.687130289482594
Yavatmal,Arni,Borgaon,20.5209133,78.0791852,2020,,,0.3314640937920898,0.0108386865471201,-15.557514867078384,-8.018244051390393
Yavatmal,Arni,Borgaon,20.5209133,78.0791852,2021,21.560151299319585,0.1311227125486943,0.3304837163006159,0.0098583090556461,-15.827981120020231,-7.965960192597768
Yavatmal,Arni,Borgaon,20.5209133,78.0791852,2022,21.831142968106267,0.4021143813353853,0.3275786309816363,0.0069532237366664,-17.072708335412422,-8.690496631228942
