district,taluka,revenue_circle,lat,lon,match_level
Amravati,Anjangaon Surji,Anjangaon,21.1213725,77.3003036,rc
Amravati,Anjangaon Surji,Bhandaraj,21.173047,77.196071,rc
Amravati,Anjangaon Surji,KapusTalani,21.1213725,77.3003036,rc
Amravati,Anjangaon Surji,Kokarda,21.0245648,77.3509292,rc
Amravati,Anjangaon Surji,Sategaon,21.1112059,77.2518024,rc
Amravati,Anjangaon Surji,Vihigaon,21.1175112,77.2989859,rc
Amravati,Chandur Railway,AamlaVishweshwar,20.7648721,77.9730351,rc
Amravati,Chandur Railway,ChandurRailway,20.7648721,77.9730351,rc
Amravati,Chandur Railway,Ghuihed,20.7648721,77.9730351,rc
Amravati,Chandur Railway,Palaskhed,20.766728,77.9371584,rc
Amravati,Chandur Railway,Satefal,20.7480074,78.0119496,rc
Amravati,Chikhaldara,Chikhaldara,21.4763983,77.2757788,rc
Amravati,Chikhaldara,Churni,21.6265234,77.5076505,rc
Amravati,Chikhaldara,Semadhoah,21.4763983,77.2757788,rc
Amravati,Chikhaldara,Tembrusonda,21.311478,77.297767,rc
Amravati,Daryapur,Darapur,20.9712428,77.4964847,rc
Amravati,Daryapur,Daryapur,20.9644553,77.3339863,rc
Amravati,Daryapur,M.Khallar,20.9644553,77.3339863,rc
Amravati,Daryapur,Ramtirth,20.8599553,77.2111999,rc
Amravati,Daryapur,Samada,20.9225215,77.2706397,rc
Amravati,Daryapur,Thillori,20.9644553,77.3339863,rc
Amravati,Daryapur,WadnerGangai,20.9644553,77.3339863,rc
Amravati,Daryapur,Yeoda,20.9983444,77.2358608,rc
Amravati,Dhamangaon Railway,Anjansingi,20.9210384,78.144513,rc
Amravati,Dhamangaon Railway,Bhatkuli,20.7010857,78.2272614,rc
Amravati,Dhamangaon Railway,Chincholi,20.7566557,78.2936433,rc
Amravati,Dhamangaon Railway,Dattapur,20.7815291,78.139307,rc
Amravati,Dhamangaon Railway,Dhamangaon,20.7933737,78.1779992,rc
Amravati,Dhamangaon Railway,MangrulDastgir,20.7933737,78.1779992,rc
Amravati,Dhamangaon Railway,TalegaonDashasar,20.7933737,78.1779992,rc
Amravati,Morshi,Ambada,21.3284562,77.9041707,rc
Amravati,Morshi,Dhamangaon,21.2222663,77.8867781,rc
Amravati,Morshi,Hiwarkhed,21.3998062,78.0854358,rc
Amravati,Morshi,Morshi,21.2798686,77.9447506,rc
Amravati,Morshi,NerPingalai,21.172972,77.9806119,rc
Amravati,Morshi,Ridhapur,21.2401874,77.8063285,rc
Amravati,Morshi,Shirkhed,21.220191,77.9425907,rc
Amravati,Teosa,Kurha,20.9441261,78.0566811,rc
Amravati,Teosa,Mozari,21.0678625,78.0281497,rc
Amravati,Teosa,Tiwasa,21.0870661,78.0654751,rc
Amravati,Teosa,Varha,21.0972979,78.0993715,rc
Amravati,Teosa,Warkhed,21.061434,78.1251097,rc
Amravati,Dharni,Dharni,21.5572367,76.8911824,rc
Amravati,Dharni,Dhulghat,21.5234958,76.8046492,rc
Amravati,Dharni,Harisal,21.5375503,77.1016263,rc
Amravati,Dharni,Sadrawadi,21.5482192,76.885686,rc
Amravati,Dharni,Sawalikheda,21.3713443,76.6967904,rc
Amravati,Warud,Benoda,21.4575221,78.1842792,rc
Amravati,Warud,Loni,21.3751262,78.1812742,rc
Amravati,Warud,Pusala,21.2187809,78.0150415,rc
Amravati,Warud,RajuraBazar.,21.4586119,78.2758253,rc
Amravati,Warud,ShendurjanaGha.,21.4586119,78.2758253,rc
Amravati,Warud,Warud,21.4586119,78.2758253,rc
Amravati,Warud,Wathoda,21.4349888,78.3575718,rc
Amravati,Chikhaldara,GaulkhedaBazar,21.4763983,77.2757788,rc
Amravati,Chikhaldara,Hatru,21.6838901,77.3441476,rc
Amravati,Nandgaon-Khandeshwar,Dabha,20.8362925,77.7151276,rc
Amravati,Nandgaon-Khandeshwar,DhanoraGurav,20.6966141,77.7634554,rc
Amravati,Nandgaon-Khandeshwar,Loni,20.7880713,77.6768429,rc
