taluka,revenue_circle,lat,lon,geocode_flag
Arni,Anjankhed,19.9550563,77.9935741,ok
Arni,Arni,20.0538582,77.9942367,ok
Arni,Borgaon,20.5209133,78.0791852,ok
Arni,Jawala,20.1470926,77.9561519,ok
Arni,Lonbehel,20.0538582,77.9942367,fallback_taluka
Arni,Sawali,20.3368205,77.8598285,ok
Babulgaon,Babhulgaon,20.55657,78.165693,ok
Babulgaon,Gharfal,20.6557893,78.2077493,ok
Babulgaon,Pahur,20.2346974,78.4025573,ok
Babulgaon,Sawar,20.4971014,78.0682704,ok
Babulgaon,Weni,20.5330302,78.2586408,ok
Darwha,BoriKhu.,20.3248916,77.7779409,fallback_taluka
Darwha,Chikhali,20.3852019,78.6251163,ok
Darwha,DarwhaKhand1,20.3248916,77.7779409,fallback_taluka
Darwha,Ladkhed,20.3465243,77.9162543,ok
Darwha,Lohi,20.4368254,77.6607227,ok
Darwha,Mahagaon,19.8336102,77.7582751,ok
Darwha,Mangkinhi,20.3081668,77.6527297,ok
Digras,Digras,20.0968334,77.7628184,ok
Digras,Kalgaon,20.044482,77.8344011,ok
Digras,Singad,20.049508,77.6394969,ok
Digras,Tivri,20.0968334,77.7628184,fallback_taluka
Digras,Tuptakli,20.0968334,77.7628184,fallback_taluka
Ghatanji,Ghatanji,20.0193812,78.2746661,ok
Ghatanji,Ghoti,20.0153713,78.2043743,ok
Ghatanji,Kurli,19.8914494,79.0198731,ok
Ghatanji,Prawa,20.0193812,78.2746661,fallback_taluka
Ghatanji,SakhraKhurd,20.0193812,78.2746661,fallback_taluka
Ghatanji,Shiroli,20.0728013,78.2501864,ok
Ghatanji,Shivni,20.159763,78.4447646,ok
Kalamb,Jodmoha,20.3168697,78.2963941,fallback_taluka_state
Kalamb,Kalamb,20.3714183,78.3432616,ok
Kalamb,Kotha,20.5239247,78.2740259,ok
Kalamb,Metikheda,20.2484277,78.4183717,ok
Kalamb,Pimpalgaon(Ruikar),20.3714183,78.3432616,fallback_taluka
Kalamb,Sawargaon,20.5361222,77.7586555,ok
Kelapur,Chalbardi,19.9788342,78.5610008,ok
Kelapur,Kelapur,20.0211172,78.5335782,ok
Kelapur,Kranji,20.0211172,78.5335782,fallback_taluka
Kelapur,Pahapal,19.997991,78.4910059,ok
Kelapur,Pandharkawada,20.0231391,78.5477347,ok
Kelapur,Patanbori,20.0211172,78.5335782,fallback_taluka
Kelapur,Runza,20.1697109,78.4930276,ok
Mahagaon,Fulsawangi,19.723282,77.8763294,ok
Mahagaon,Gunj,20.0706341,78.9681216,ok
Mahagaon,Hivra,19.8336102,77.7582751,fallback_taluka
Mahagaon,KaliDoulatkhan,19.8336102,77.7582751,fallback_taluka
Mahagaon,Kasola,19.9136633,77.6613235,ok
Mahagaon,Mahagaon,19.8336102,77.7582751,ok
Mahagaon,Morath,19.7927912,77.7037668,ok
Maregaon,Botoni,20.0028101,78.650651,ok
Maregaon,Kumbha,20.1919181,78.7550425,ok
Maregaon,Mardi,20.1958049,78.843888,ok
Maregaon,Maregaon,20.1517661,78.7944725,ok
Maregaon,Wanoja,20.1775282,78.9153957,ok
Ner,Malkhed,20.422971,77.9032695,ok
Ner,Manikwada,20.5357404,77.9273987,ok
Ner,Mozar,20.5070233,77.790842,ok
