taluka,revenue_circle,lat,lon,year,geocode_flag,LST_anom_C,LST_mean_C,NDVI_anom,NDVI_mean,NDVI_peak,SM_anom,SM_mean,SPI30_mean,VHI_mean,cumRain_mm,drySpellDays,tmax_K_mean,tmax_anom_K,dry_spell_julaug,gdd_surplus,heavy_rain_days,june_rain_mm,lst_anom_augsep,ndvi_slow_greenup,oct_rain_mm,sm_wet_days,farmers_total,area_ha,sum_insured_rs,claim_total_lac,claim_yield_lac,claim_local_lac,claim_prevented_lac,claim_postharvest_lac,claim_midterm_lac,rate_total,rate_yield,rate_local,rate_prevented,rate_postharvest,rate_midterm
Arni,Anjankhed,19.9550563,77.9935741,2021,ok,0.1637015934865482,34.39151914349082,-0.0605406222380237,0.5694593476600565,0.7940028656079638,0.0037712172694517,0.4172152998322291,-912.7490911714656,0.6418537722305746,1189.520656201599,82.89868676812213,303.2842672777005,-0.5217221350815736,25.145735552078893,-0.30486648377995756,0.7664628075664913,162.27399170461445,-0.7168464738088071,0.7462905901872479,48.6846788645367,96.35011615227803,1802.0,3025.29,101470552.6,98.0,23.0,64.0,0.0,11.0,0.0,0.0965797440626139,0.022666674626939994,0.06307248591844172,0.0,0.010840583517232171,0.0
Arni,Anjankhed,19.9550563,77.9935741,2022,ok,-0.2091307649502767,34.01868678505399,-0.1060498473045218,0.5239501225935581,0.7868968298174926,0.0169678948030745,0.4304119773658518,-882.4051756333566,0.615762655055444,1533.9468522457248,70.65125871142088,303.52516283552995,-0.2808265772523015,18.025079410230887,0.0679778962344641,4.4551272934148765,62.92010726394296,0.21584528951435697,2.535340127992414,104.6417393992513,111.90356990470771,,,,,,,,,,,,,,,
Arni,Anjankhed,19.9550563,77.9935741,2023,ok,-0.4393842081468289,33.788433341857434,-0.0977539383213503,0.5322460315767295,0.7637883669115906,-0.0342118614183381,0.3792322211444394,-926.9015248201245,0.6278049401380944,1028.7603472245346,101.88470108566824,304.57934592758056,0.7733565147983379,29.998625136301154,0.2959203476176222,1.2206893282131512,4.946498920154205,-1.0765948248995907,1.6573003081298878,7.107060644414456,76.81202294600106,4346.0,7705.5,339046752.54,280.0,0.0,271.0,0.0,9.0,0.0,0.08258448072496025,0.0,0.07992997955880081,0.0,0.0026545011661594366,0.0
Arni,Anjankhed,19.9550563,77.9935741,2024,ok,-0.4943636527133878,33.73345389729086,-0.0865330432961996,0.5434669266018805,0.8020798957098831,0.0154566302276977,0.4289007127904752,-915.7577144503988,0.6357173538984476,1155.444255401192,72.7886028540274,303.6876713239699,-0.1183180888120002,14.60911202768691,-0.008059503954819703,0.0,83.3023416060436,-1.3284957240920534,2.0378762739985774,42.787982566676085,110.9982458635566,3994.0,7066.33,314720939.25,182.0,0.0,179.0,0.0,3.0,0.0,0.05782900890983535,0.0,0.05687578348824466,0.0,0.0009532254215906926,0.0
Arni,Anjankhed,19.9550563,77.9935741,2025,ok,-4.278223152855992,29.949594397148275,-0.0580740714492639,0.5719258984488159,0.7842441526428054,0.0118220657450619,0.4252661483078396,-903.316448655098,0.7389212734076661,1296.9308695738198,77.55677238894422,303.00986399919964,-0.7961254135828771,17.750912625041487,-0.25524000479471953,2.009387000426682,55.1085337875648,-2.623931808733089,0.6821995733586158,106.4500094931652,106.54733797942447,2447.0,3927.7,224960927.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arni,Arni,20.0538582,77.9942367,2021,ok,0.1246750715108584,35.35153848401571,-0.053289448715114,0.5562855602671116,0.7858775685215452,0.0034211787690657,0.4235021474882817,-921.2729345247824,0.6202998593189114,1190.7784126854654,83.88243934799091,303.3294780783462,-0.4990214969826718,25.814537528430638,-0.3081433236773536,0.0,159.69353487131903,-0.522752444760011,0.5723236917537254,59.27037658440156,97.19730856709631,1603.0,2674.89,98438136.11,70.0,10.0,45.0,0.0,15.0,0.0,0.07111065158911409,0.010158664512730583,0.04571399030728763,0.0,0.015237996769095876,0.0
Arni,Arni,20.0538582,77.9942367,2022,ok,0.196072695296916,35.42293610780175,-0.0957836883779878,0.5137913206042375,0.7777589830147117,0.0140216391493257,0.4341026078685424,-890.0819791270882,0.589957415251553,1544.9490715870584,71.0495166793025,303.57613647942117,-0.2523630959074392,19.357183472327524,0.0773677601670825,4.734789613343443,71.94375689581909,0.9543736134911901,2.3945111695449297,106.73616272488988,109.35201857467781,,,,,,,,,,,,,,,
Arni,Arni,20.0538582,77.9942367,2023,ok,-1.1668248042846263,34.060038608220225,-0.0883728395610093,0.521202169421216,0.7998299540425942,-0.0325691944511197,0.3875117742680972,-933.9829720255289,0.6256520400179608,1046.6339231548186,101.5615523123579,304.62194648689325,0.7934469115650518,30.227918877937846,0.3169055176634727,1.5493271417740715,6.565205100723249,-1.667002887014245,2.549913533745531,1.6740967466286227,80.4932714177407,3644.0,6134.54,275074035.2,178.0,0.0,176.0,0.0,2.0,0.0,0.06470985161161441,0.0,0.06398277462721426,0.0,0.000727076984400162,0.0
Arni,Arni,20.0538582,77.9942367,2024,ok,-1.5739349407338663,33.65292847177096,-0.0673241131286571,0.5422508958535682,0.7760760772747731,0.0122120486881724,0.4322930174073892,-923.2953125601152,0.6504579778884736,1167.9076115987168,74.64798142532221,303.7139908881078,-0.1145086872204681,16.22791887793783,-0.010338212405914525,0.3214082638362396,73.55167236918523,-1.8704528806963252,1.9656385473669256,43.28965250139463,108.80269143290379,3231.0,5581.25,250781916.17,115.0,0.0,105.0,0.0,10.0,0.0,0.04585657600687756,0.0,0.04186904765845342,0.0,0.003987528348424136,0.0
Arni,Arni,20.0538582,77.9942367,2025,ok,-4.527497713382097,30.69936569912276,-0.0582315942363727,0.5513434147458526,0.7677834292753418,0.0101059091056119,0.4301868778248284,-911.4571094529584,0.7224151113501791,1302.4219762784603,79.77018574677787,303.03694292237583,-0.7915566529526434,19.401156178923426,-0.25626592155223776,2.2652103866565585,57.98166249614559,-2.9534039800139924,1.1130220548172367,98.02700119613068,108.09865428354817,1534.0,2289.39,132117696.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arni,Borgaon,20.5209133,78.0791852,2021,ok,0.0727488217635015,35.208407438566745,-0.0285002748684401,0.5826592355559754,0.819983395718451,0.0024026838257303,0.389806148726321,-929.321549839652,0.6318788540004225,1102.7485265593127,76.66057342591283,303.23285635294354,-0.416596604080134,24.96452694723915,-0.3227091020153907,0.0,192.1871911237137,-0.07298658097882277,1.0634202789028089,52.1487742095804,97.16333663974304,1496.0,2542.89,92823800.7,59.0,6.0,41.0,0.0,12.0,0.0,0.06356128444975427,0.006463859435568231,0.04416970614304958,0.0,0.012927718871136463,0.0
Arni,Borgaon,20.5209133,78.0791852,2022,ok,0.8119791037834232,35.94763772058666,-0.1526231714534616,0.4585363389709536,0.7629463861894688,0.0131986510280889,0.400602115928679,-888.3460902964496,0.535779389758126,1543.8270766646583,69.87988285862738,303.4388060649629,-0.2106468920607844,18.629068064805626,0.09876581806888603,3.7562703698455424,66.54616057500577,0.9457209800577154,3.192917616219342,102.03885887573577,113.04383354588823,,,,,,,,,,,,,,,
