year,season,district,taluka,col_count,sno,revenue_circle,insurance_units,farmers,app_loanee,app_non_loanee,area_insured_hect,farmers_premium_rs,state_premium_rs,goi_premium_rs,gross_premium_rs,sum_insured_rs,gender_male,gender_female,gender_others,cat_sc,cat_st,cat_obc,cat_gen,farmer_marginal,farmer_small,farmer_others,claim_prevented_sowing,claim_localized,claim_midterm,claim_yield_based,claim_post_harvest,claim_wbcis,claim_total
2019,Kharif,Amravati,Anjangaon Surji,29,1,Anjangaon,1,1683,482,2209,2288.43,2812240.9,5869388.58,5869388.58,14551018.06,86270405,2243,448,0,118,4,2167,402,226,2215,250,0,0,0,75,0,0,75
2019,Kharif,Amravati,Anjangaon Surji,29,2,Bhandaraj,1,1892,510,2341,2880.95,3100220.05,7286933.21,7286933.21,17674086.47,103519003.74,2192,658,1,329,13,2189,320,79,2482,290,0,0,0,206,0,0,206
2019,Kharif,Amravati,Anjangaon Surji,29,3,KapusTalani,1,3728,818,5438,6057.38,5423970.78,16696435.67,16696435.67,38816842.12,220093080.77,4966,1286,4,434,40,4884,898,180,5637,439,0,0,0,719,0,0,719
2019,Kharif,Amravati,Anjangaon Surji,29,4,Kokarda,1,2709,845,3844,4763.51,3497646.1,11659640.51,11659640.51,26816927.12,151058393.53,3715,974,0,568,48,3514,559,684,3281,724,0,0,0,165,0,0,165
2019,Kharif,Amravati,Anjangaon Surji,29,5,Sategaon,1,2485,367,4038,3879.65,3494715.22,9729506.11,9729506.11,22953727.44,131880941.5,3615,790,0,297,25,3445,638,183,3593,629,0,0,0,248,0,0,248
2019,Kharif,Amravati,Anjangaon Surji,29,6,Vihigaon,1,3078,722,4327,4584.78,4181604.78,11683039.1,11683039.1,27547682.98,158419239.5,4153,894,2,301,9,4088,651,339,4299,411,0,0,0,207,0,0,207
2019,Kharif,Amravati,Chandur Railway,29,1,AamlaVishweshwar,1,800,476,760,1221.9,1217010.02,3353032.72,3353032.72,7923075.46,45514861,949,285,2,116,13,857,250,127,980,129,0,0,0,129,0,0,129
2019,Kharif,Amravati,Chandur Railway,29,2,ChandurRailway,1,671,530,616,1054.12,1053021.24,2929231.34,2929231.34,6911483.92,39506742,888,256,2,94,25,762,265,77,913,156,0,0,0,51,0,0,51
2019,Kharif,Amravati,Chandur Railway,29,3,Ghuihed,1,1226,627,1588,2059.41,1701898.44,5967124.02,5967124.02,13636146.48,76036482,1771,444,0,306,40,1601,268,324,1718,173,0,0,0,144,0,0,144
2019,Kharif,Amravati,Chandur Railway,29,4,Palaskhed,1,1458,522,1748,2279.58,2020931.72,6562391.37,6562391.37,15145714.46,85390186.59,1812,458,0,240,20,1610,400,101,2067,102,0,0,0,118,0,0,118
2019,Kharif,Amravati,Chandur Railway,29,5,Satefal,1,889,627,877,1515.13,1484850.3,4163334.95,4163334.95,9811520.20,56179815.7,1198,306,0,125,13,1139,227,100,1272,132,0,0,0,66,0,0,66
2019,Kharif,Amravati,Chikhaldara,29,1,Chikhaldara,1,225,268,59,320.76,326508.1,840020.05,840020.05,2006548.20,11491205,269,58,0,17,275,24,11,18,276,33,0,0,0,21,0,0,21
2019,Kharif,Amravati,Chikhaldara,29,2,Churni,1,116,70,56,146.11,110460.8,442866.6,442866.6,996194.00,5523040,117,9,0,32,71,13,10,0,78,48,0,0,0,23,0,0,23
2019,Kharif,Amravati,Chikhaldara,29,3,Semadhoah,1,56,63,0,66.44,60662.4,196333.8,196333.8,453330.00,2541120,55,8,0,14,49,0,0,0,59,4,0,0,0,19,0,0,19
2019,Kharif,Amravati,Chikhaldara,29,4,Tembrusonda,1,111,115,55,179.45,169810.92,484747.02,484747.02,1139304.96,6453500.4,155,15,0,7,96,52,15,26,139,5,0,0,0,26,0,0,26
2019,Kharif,Amravati,Daryapur,29,1,Darapur,1,3566,1008,5564,6376.98,5418988.67,15719393.49,15719393.49,36857775.65,212961834.84,5284,1285,3,741,95,4762,974,408,5501,663,0,0,0,1121,0,0,1121
2019,Kharif,Amravati,Daryapur,29,2,Daryapur,1,2021,1132,2434,3993.02,3250052.19,7262562.59,7262562.59,17775177.37,108719090.37,2883,678,5,362,25,2043,1136,170,2817,579,0,0,0,535,0,0,535
2019,Kharif,Amravati,Daryapur,29,3,M.Khallar,1,3082,1565,3828,5365.89,4288489.39,12492493.12,12492493.12,29273475.63,169837870,4321,1062,10,560,70,3465,1298,250,4595,548,0,0,0,894,0,0,894
