year,season,district,taluka,col_count,sno,revenue_circle,insurance_units,farmers,app_loanee,app_non_loanee,area_insured_hect,farmers_premium_rs,state_premium_rs,goi_premium_rs,gross_premium_rs,sum_insured_rs,gender_male,gender_female,gender_others,cat_sc,cat_st,cat_obc,cat_gen,farmer_marginal,farmer_small,farmer_others,claim_prevented_sowing,claim_localized,claim_midterm,claim_yield_based,claim_post_harvest,claim_wbcis,claim_total
2018,Kharif,Chandrapur,Pombhurna,29,1,Pomburna,1,1648,1912,283,2347.25,2372503.26,3816344.59,3816344.59,10005192.44,94625313.45,1909,284,2,158,203,1601,233,193,1873,129,0,0,0,45,0,0,45
2018,Kharif,Chandrapur,Rajura,29,1,Rajura,1,981,1409,22,1579.43,2915863.94,1968039.5,1968039.5,6851942.94,66249407.86,1242,189,0,68,65,1214,84,122,1152,157,0,1,0,0,0,0,1
2018,Kharif,Chandrapur,Rajura,29,2,VirurStation,1,1314,2153,0,2347.8,3899173.43,3186759.75,3186759.75,10272692.93,98120440.76,1830,323,0,143,169,1013,828,231,1506,416,0,0,0,0,0,0,0
2019,Kharif,Chandrapur,Chimur,29,1,Bhisi,1,1045,1243,4,1337.83,1248240.95,3106039.3,3106039.3,7460319.55,56005004.5,1096,151,0,115,176,906,50,135,1066,46,0,0,0,75,0,0,75
2019,Kharif,Chandrapur,Chimur,29,2,Chimur,1,1630,1618,240,2515.25,2304766.4,4927136.8,4927136.8,12159040.00,104230750,1715,141,2,115,137,1486,120,112,1435,311,0,1,0,64,0,0,65
2019,Kharif,Chandrapur,Chimur,29,3,Jambhulghat,1,1018,1000,232,1361.29,1268662.7,2678300.57,2678300.57,6625263.84,56391670,1105,127,0,172,328,678,54,70,1084,78,0,0,0,103,0,0,103
2019,Kharif,Chandrapur,Chimur,29,4,Khadsangi,1,348,472,67,601.53,702490.2,1497023.85,1497023.85,3696537.90,25371465,494,45,0,69,99,340,31,59,301,179,0,0,0,26,0,0,26
2019,Kharif,Chandrapur,Chimur,29,5,MasalBu.,1,1832,1605,487,2445.36,2105581.95,4602010.56,4602010.56,11309603.07,100994362.5,1763,328,1,295,743,959,95,101,1906,85,0,0,0,83,0,0,83
2019,Kharif,Chandrapur,Chimur,29,6,Neri,1,2401,1495,1991,3556.46,3124072.73,6954564.45,6954564.45,17033201.63,147215262.7,3089,397,0,428,562,2297,199,194,3089,203,0,0,0,317,0,0,317
2019,Kharif,Chandrapur,Chimur,29,7,Shankrpur,1,948,1007,126,1268.39,1692721.92,2697045.94,2697045.94,7086813.80,53322894.25,994,139,0,168,194,730,41,72,986,75,0,0,0,32,0,0,32
2019,Kharif,Chandrapur,Gondpipri,29,1,Dhaba,1,1509,1691,73,1767,2382533.2,3519790.27,3519790.27,9422113.74,74135330,1520,243,1,214,91,1381,78,138,1560,66,0,0,0,27,0,0,27
2019,Kharif,Chandrapur,Gondpipri,29,2,Gondpipari,1,1197,1602,129,1698.95,2307693.1,3472227.18,3472227.18,9252147.46,71192480,1442,289,0,154,174,1333,70,233,1403,95,0,0,0,25,0,0,25
2019,Kharif,Chandrapur,Jiwati,29,1,Jivati,1,381,373,16,579.92,1239496.8,1253816.85,1253816.85,3747130.50,24931845,344,45,0,69,143,139,38,24,351,14,0,0,0,41,0,0,41
2019,Kharif,Chandrapur,Jiwati,29,2,Patan,1,214,180,51,346.88,708392,781443.15,781443.15,2271278.30,14892475,207,24,0,29,40,131,31,3,227,1,0,0,0,0,0,0,0
2019,Kharif,Chandrapur,Korpana,29,1,Gadchandur,1,796,916,6,1439.57,3026062.28,3144653.9,3144653.9,9315370.08,61643618.82,803,119,0,24,29,862,7,45,765,112,0,0,0,0,0,0,0
2019,Kharif,Chandrapur,Korpana,29,2,Korpna,1,733,770,1,1345.98,2852746.19,2922602.09,2922602.09,8697950.37,57706799.87,670,101,0,47,72,606,46,143,488,140,0,0,0,0,0,0,0
2019,Kharif,Chandrapur,Mul,29,1,Bembal,1,1762,1227,1321,2616.13,2159541.7,5002753.05,5002753.05,12165047.80,107977086.25,2088,460,0,168,72,2093,215,150,2286,112,0,0,0,34,0,0,34
