year,season,district,taluka,col_count,sno,revenue_circle,insurance_units,farmers,app_loanee,app_non_loanee,area_insured_hect,farmers_premium_rs,state_premium_rs,goi_premium_rs,gross_premium_rs,sum_insured_rs,gender_male,gender_female,gender_others,cat_sc,cat_st,cat_obc,cat_gen,farmer_marginal,farmer_small,farmer_others,claim_prevented_sowing,claim_localized,claim_midterm,claim_yield_based,claim_post_harvest,claim_wbcis,claim_total
2021,Kharif,Yavatmal,Arni,29,1,Anjankhed,1,1802,3764,3266,3025.29,2692094.02,5760728.66,5760728.66,14213551.34,101470552.6,5198,1832,0,296,465,2775,3494,78,6575,377,0,64,0,23,11,0,98
2021,Kharif,Yavatmal,Arni,29,2,Arni,1,1603,3061,1650,2674.89,2831744.43,5365039.96,5365039.96,13561824.35,98438136.11,3428,1278,5,122,159,1926,2504,121,4061,529,0,45,0,10,15,0,70
2021,Kharif,Yavatmal,Arni,29,3,Borgaon,1,1496,2719,1569,2542.89,2698044.89,5033867.66,5033867.66,12765780.21,92823800.7,3207,1081,0,182,104,2570,1432,174,3555,559,0,41,0,6,12,0,59
2021,Kharif,Yavatmal,Arni,29,4,Jawala,1,2037,2791,2652,3392.4,3180099.16,6986027.93,6986027.93,17152155.02,123182088.57,4053,1384,6,232,141,3173,1897,583,4069,791,0,98,0,10,15,0,123
2021,Kharif,Yavatmal,Arni,29,5,Lonbehel,1,1865,3197,2335,3132.75,3139208.97,6256097.99,6256097.99,15651404.95,112659953.68,4181,1351,0,103,175,2232,3022,89,4822,621,0,58,0,16,16,0,90
2021,Kharif,Yavatmal,Arni,29,6,Sawali,1,1503,3086,2244,2719.24,2569823.53,5271337.65,5271337.65,13112498.83,93785070.42,3977,1353,0,263,426,2209,2432,121,5016,193,0,38,0,14,15,0,67
2021,Kharif,Yavatmal,Babulgaon,29,1,Babhulgaon,1,495,402,656,1107.05,1205559.63,2366261.45,2366261.45,5938082.53,42887742.69,860,198,0,75,12,655,316,101,746,211,0,11,0,0,1,0,12
2021,Kharif,Yavatmal,Babulgaon,29,2,Gharfal,1,774,519,971,1452.86,1565579.42,3094340.99,3094340.99,7754261.40,56456061.9,1242,248,0,81,27,1078,304,154,1119,217,0,10,0,20,2,0,32
2021,Kharif,Yavatmal,Babulgaon,29,3,Pahur,1,491,56,946,896.48,777631.94,2094041.58,2094041.58,4965715.10,34461718,802,197,3,59,27,825,91,41,903,58,0,11,0,0,2,0,13
2021,Kharif,Yavatmal,Babulgaon,29,4,Sawar,1,806,272,1282,1536.48,1522547.15,3402753.19,3402753.19,8328053.53,59398960.01,1221,333,0,99,30,766,659,192,1243,119,0,18,0,0,3,0,21
2021,Kharif,Yavatmal,Babulgaon,29,5,Weni,1,465,266,615,878.02,982678.18,1849922.22,1849922.22,4682522.62,34040399.8,735,146,0,57,16,556,252,93,670,118,0,13,0,0,2,0,15
2021,Kharif,Yavatmal,Darwha,29,1,BoriKhu.,1,1699,76,4150,3111.67,2489804.19,6592776.69,6592776.69,15675357.57,110556866.29,3329,897,0,273,33,2251,1669,263,3889,74,0,86,0,0,19,0,105
2021,Kharif,Yavatmal,Darwha,29,2,Chikhali,1,2660,358,7442,4707.13,3387145.66,8987943.37,8987943.37,21363032.40,150908582.95,6098,1702,0,437,95,4107,3161,315,7342,143,0,119,0,0,42,0,161
2021,Kharif,Yavatmal,Darwha,29,3,DarwhaKhand1,1,2685,217,8666,4539.9,3424975.98,8568187.07,8568187.07,20561350.12,145881829.33,6926,1953,4,312,69,2854,5648,373,8302,208,0,85,0,0,32,0,117
2021,Kharif,Yavatmal,Darwha,29,4,Ladkhed,1,1084,85,2059,1894.51,1732585.09,4154562.86,4154562.86,10041710.81,71825005.14,1694,446,4,104,36,1173,831,128,1922,94,0,54,0,0,6,0,60
2021,Kharif,Yavatmal,Darwha,29,5,Lohi,1,3111,286,7649,5285.23,3901930.5,10323363.81,10323363.81,24548658.12,173509491.99,6090,1845,0,805,84,4121,2925,577,7074,284,0,152,0,0,50,0,202
2021,Kharif,Yavatmal,Darwha,29,6,Mahagaon,1,1994,121,5759,3456.9,2831564.06,6729026.07,6729026.07,16289616.20,116445806.09,4549,1331,0,229,125,2563,2963,185,5561,134,0,123,0,0,14,0,137
2021,Kharif,Yavatmal,Darwha,29,7,Mangkinhi,1,3306,305,9655,5828.48,4187509.46,11068882.61,11068882.61,26325274.68,186942020.4,7631,2325,4,542,384,3089,5945,354,9380,226,0,157,0,10,56,0,223
2021,Kharif,Yavatmal,Digras,29,1,Digras,1,1212,957,1672,2100.43,2325824.6,4439675.23,4439675.23,11205175.06,81698685.06,2028,601,0,63,99,1449,1018,230,2310,89,0,66,0,0,8,0,74
2021,Kharif,Yavatmal,Digras,29,2,Kalgaon,1,2550,4129,1290,4172.43,5637707.61,7813904.91,7813904.91,21265517.43,164814030.64,4244,1175,0,176,287,1998,2958,1858,3217,344,0,107,0,2,15,0,124
2021,Kharif,Yavatmal,Digras,29,3,Singad,1,1209,1810,761,1899.36,2509395.81,3616054.3,3616054.3,9741504.41,74942308.5,1986,585,0,57,258,1168,1088,702,1824,45,0,31,0,1,9,0,41
2021,Kharif,Yavatmal,Digras,29,4,Tivri,1,2620,3681,1954,4494.82,6047436.22,8445306.45,8445306.45,22938049.12,176997882.36,4395,1240,0,132,227,3109,2167,1799,3459,377,0,165,0,3,23,0,191
