taluka,revenue_circle,lat,lon,year,geocode_flag,LST_anom_C,LST_mean_C,NDVI_anom,NDVI_mean,NDVI_peak,SM_anom,SM_mean,SPI30_mean,VHI_mean,cumRain_mm,drySpellDays,tmax_K_mean,tmax_anom_K,dry_spell_julaug,gdd_surplus,heavy_rain_days,june_rain_mm,lst_anom_augsep,ndvi_slow_greenup,oct_rain_mm,sm_wet_days,farmers_total,area_ha,sum_insured_rs,claim_total_lac,claim_yield_lac,claim_local_lac,claim_prevented_lac,claim_postharvest_lac,claim_midterm_lac,rate_total,rate_yield,rate_local,rate_prevented,rate_postharvest,rate_midterm,rule_VHI_mean,rule_drySpellDays,rule_dry_spell_julaug,rule_cumRain_mm,rule_heavy_rain_days,rule_sm_wet_days,rule_lst_anom_augsep,rule_gdd_surplus,trigger_drought,trigger_flood,trigger_heat,trigger_any
Arni,Anjankhed,19.9550563,77.9935741,2025,ok,-4.278223152855992,29.949594397148275,-0.0580740714492639,0.5719258984488159,0.7842441526428054,0.0118220657450619,0.4252661483078396,-903.316448655098,0.7389212734076661,1296.9308695738198,77.55677238894422,303.00986399919964,-0.7961254135828771,17.750912625041487,-0.2552400047947195,2.009387000426682,55.1085337875648,-2.623931808733089,0.6821995733586158,106.4500094931652,106.54733797942448,2447.0,3927.7,224960927.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,False,False,False,True,False,True
Arni,Arni,20.0538582,77.9942367,2025,ok,-4.527497713382097,30.69936569912276,-0.0582315942363727,0.5513434147458526,0.7677834292753418,0.0101059091056119,0.4301868778248284,-911.4571094529584,0.7224151113501791,1302.4219762784603,79.77018574677787,303.03694292237583,-0.7915566529526434,19.401156178923426,-0.2562659215522377,2.2652103866565585,57.98166249614559,-2.9534039800139924,1.1130220548172367,98.02700119613068,108.09865428354816,1534.0,2289.39,132117696.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,False,False,False,True,False,True
Arni,Borgaon,20.5209133,78.0791852,2025,ok,-4.150043506135954,30.98561511066729,-0.038562494151805,0.5725970162726095,0.774251755245663,0.0151268969567875,0.4025303618573783,-929.7828008526486,0.7157061306572842,1097.9287495876963,87.78163525577442,302.8126120989016,-0.8368408581219593,23.035142411789707,-0.2401235968858616,1.556279816730433,45.38670707142589,-2.7471252718907024,0.8008950394974547,86.42503610384767,110.29186150866752,1932.0,2988.35,173136433.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,False,True,False,False,True
Arni,Jawala,20.1470926,77.9561519,2025,ok,-3.3190442619602543,30.958749430422063,-0.0560231543166036,0.5450431841856068,0.7827976645359864,0.0099861247830718,0.4313280679249767,-905.6437843483284,0.680175221643523,1237.0716381198763,84.77032722451102,303.0964192012114,-0.7961589863335069,18.762182128143195,-0.2538242786734748,0.8346356016479614,57.67055748673404,-1.866021543061339,1.5668087121212135,91.88769841550176,106.91030922953064,2356.0,3691.47,212926085.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,False,True,False,False,True
Arni,Lonbehel,20.0538582,77.9942367,2025,fallback_taluka,-4.527497713382097,30.69936569912276,-0.0582315942363727,0.5513434147458526,0.7677834292753418,0.0101059091056119,0.4301868778248284,-911.4571094529584,0.7224151113501791,1302.4219762784603,79.77018574677787,303.03694292237583,-0.7915566529526434,19.401156178923426,-0.2562659215522377,2.2652103866565585,57.98166249614559,-2.9534039800139924,1.1130220548172367,98.02700119613068,108.09865428354816,2179.0,3304.56,188516436.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,False,False,False,True,False,True
Arni,Sawali,20.3368205,77.8598285,2025,ok,-4.246456931488703,30.868367864124487,-0.0502790773930325,0.5501842547383831,0.7714175074183984,0.0111646435733036,0.4375400005285033,-911.5355933678364,0.6878692212532402,1064.827353266247,80.4502459326523,302.86732003927955,-0.8028108985216785,18.402998486568293,-0.2427522169661269,1.2396424517593645,49.072145680664725,-2.7762102286956045,1.198635724165652,67.54773127383372,106.88999243284144,2284.0,3666.36,209703806.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False
Babulgaon,Babhulgaon,20.55657,78.165693,2025,ok,-4.055570733699949,30.811974751529497,-0.0754191779309856,0.5462847907099375,0.7833673580695806,0.0112538553746438,0.4270536904828959,-927.970174351878,0.6934835271207658,1117.829409191685,87.0984651711924,303.1541642044421,-0.8191183543811837,22.07834710743801,-0.2549832472972707,1.0,47.244632785349474,-2.1211726478570143,1.7279209510430065,97.2481825475197,108.40217237308146,702.0,1340.15,76206673.59,36.0,36.0,0.0,0.0,0.0,0.0,0.0472399572164556,0.0472399572164556,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,False,True,False,False,True
Babulgaon,Gharfal,20.6557893,78.2077493,2025,ok,-4.2072373991814604,31.700166798244872,-0.0654905971773231,0.5540576045263513,0.7891427652846933,0.008675737592763,0.43337041566567,-923.439785886588,0.7186772628580337,1128.3571348566827,81.09132527845948,303.3686851304824,-0.8086899503200038,19.925193505757974,-0.2583265200000292,1.0101472531621674,45.346060769641944,-2.8813351345284888,1.536043795275962,102.12819580993408,105.91750047196524,1313.0,2242.9,127176390.05,22.0,22.0,0.0,0.0,0.0,0.0,0.0172988083647842,0.0172988083647842,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False
Babulgaon,Pahur,20.2346974,78.4025573,2025,ok,-4.1666875359861395,28.798474744740357,0.0042769779581299,0.6669901330819971,0.8119724546293449,0.0103625053603894,0.4421011237760148,-918.7264774589486,0.784585826117281,1369.554904567517,81.20109801694352,303.05638813565355,-0.7813700688594826,18.875053244356096,-0.256632929346351,3.4330540962657965,56.57477654964173,-2.0930626049721055,0.1433760026500721,111.6915595700761,109.6259643144493,606.0,998.03,55822524.86,28.0,28.0,0.0,0.0,0.0,0.0,0.0501589637341244,0.0501589637341244,0.0,0.0,0.0,0.0,False,False,False,True,True,False,False,False,False,True,False,True
Babulgaon,Sawar,20.4971014,78.0682704,2025,ok,-4.276656025307968,30.254514148421624,-0.0229361015255536,0.5814429223025283,0.7820486088147769,0.0150888686788436,0.4039970502309923,-928.717611697802,0.7101807228172722,1114.0074979975916,86.98266332845198,302.77934793477306,-0.8353980241888536,22.529878596060275,-0.2381792702446294,1.4773489536586524,45.28117083701627,-2.261908734581721,0.5639732627899291,83.55354921537777,109.95176909632006,1297.0,2167.59,124208381.64,63.0,63.0,0.0,0.0,0.0,0.0,0.0507212147587562,0.0507212147587562,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,False,True,False,False,True
