taluka,revenue_circle,lat,lon,year,geocode_flag,LST_anom_C,LST_mean_C,NDVI_anom,NDVI_mean,NDVI_peak,SM_anom,SM_mean,SPI30_mean,VHI_mean,cumRain_mm,drySpellDays,dry_spell_julaug,gdd_surplus,heavy_rain_days,june_rain_mm,lst_anom_augsep,ndvi_slow_greenup,oct_rain_mm,sm_wet_days,tmax_K_mean,tmax_anom_K,farmers_total,area_ha,sum_insured_rs,claim_total_lac,claim_yield_lac,claim_local_lac,claim_prevented_lac,claim_postharvest_lac,claim_midterm_lac,rate_total,rate_yield,rate_local,rate_prevented,rate_postharvest,rate_midterm,district,SAR_VV_mean_dB,SPI30_min,sm_anom,sm_mean,tmax_anom_C,tmax_mean_C,ET_mean_mm8d,ET_anom_mm8d,SMAP_sm_mean,SMAP_sm_anom,SAR_VH_mean_dB,SAR_CR_mean_dB,rule_VHI_mean,rule_drySpellDays,rule_dry_spell_julaug,rule_SMAP_sm_anom,rule_cumRain_mm,rule_heavy_rain_days,rule_sm_wet_days,drought_rule_count,trigger_drought,flood_rule_count,trigger_flood,trigger_heat,trigger_any,payout_drought_pct,payout_flood_pct,payout_total_pct,payout_rs_per_ha
Achalpur,Achalpur,21.2407925,77.427797,2025,,-4.188903785646915,30.285580114630154,-0.0288396457523714,0.5797703830805233,,,,,0.4469289681030897,1017.8763570359858,89.66585182399396,28.463614140654375,-0.1360201582019581,0.5565532154945467,172.17428769799133,-3.3018925647296262,-0.121166878995863,62.70568112671987,106.02877021436628,,,,,29587847.84,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,Amravati,-7.536931675087188,-915.0933729239404,0.0100805094472339,0.409060782435878,-0.8172662695632046,302.4806220544814,23.203640070465745,1.584563498347221,0.3331577634973358,0.0073877111155765,-15.297087670533116,-7.760155995445927,True,True,True,False,False,False,False,3,True,0,False,False,True,0.1,0.0,0.1,4000.0
Achalpur,Asadpur,21.0869427,77.4808216,2025,,-5.124902724603916,30.84600632694368,-0.0180823266552663,0.5397175156754155,,,,,0.4241842347091925,898.899823077865,89.45102838047727,26.464865628088667,-0.1436114458758586,0.0337930060714453,157.80243172184294,-4.474200992178746,0.0432365722219607,69.3068296702901,113.57608132912888,,,,,119449206.07,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,Amravati,-7.913640929191533,-905.4674376267034,0.0124757575197971,0.4389406163627003,-0.8086991451313327,302.5486860607064,23.307172369741313,1.712751281902975,0.3119934204466658,0.0066752385090518,-16.81549272095153,-8.901851791759995,True,True,False,False,False,False,True,2,True,1,False,False,True,0.1,0.0,0.1,4000.0
Achalpur,Paratwada,21.1882261,77.5589664,2025,,-4.246731544824902,31.031922256719064,-0.0147737701362101,0.5543844095294846,,,,,0.4357894314187263,996.8858162427326,88.98287703452816,26.603678615109608,-0.1338166814324596,0.3423652272085803,162.111338100155,-4.477708051710282,0.0009503245836861,82.10782040507816,109.03984382350178,,,,,9184492.35,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,Amravati,-7.793939216900674,-911.4839337815336,0.0109897611358883,0.430729656037532,-0.782527064543485,302.81811667945726,23.056847948264668,1.8537342721749333,0.3187638331078128,0.0039123314542238,-16.127515702981054,-8.333576486080387,True,False,False,False,False,False,False,1,False,0,False,False,False,0.0,0.0,0.0,0.0
Achalpur,Parsapur,21.2597431,77.4156848,2025,,-4.2683580960796155,30.063970635741313,-0.0184848472979465,0.5866815263938502,,,,,0.4520575090344808,1027.6410218177064,88.73984771573602,27.642225982327513,-0.1299433026020505,0.6592404587328444,170.84401393689785,-3.062749548807667,-0.1169229765933445,61.52114397922396,106.5112803158488,,,,,18536202.49,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,Amravati,-7.418281373711759,-908.7241901145452,0.0117600441613268,0.39227826942228,-0.8256705081180331,302.24104743326023,23.640474296349723,1.5563044636595014,0.337473023750769,0.0071041421836245,-15.072300861747,-7.65401948803524,True,False,True,False,True,False,False,2,True,1,False,False,True,0.1,0.0,0.1,4000.0
Achalpur,Pathrot,21.2117946,77.3601858,2025,,-4.169098990316287,30.556607631797423,-0.0667164952763147,0.5561125130632889,,,,,0.4275749044035365,1019.7481862456972,86.85346124905945,27.445635816403307,-0.1415062190309573,0.6875470278404816,177.4186236625576,-3.40050774750677,-0.1004668665349887,60.50690087041328,102.36756960120393,,,,,44072126.37,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,Amravati,-7.32920689058508,-911.6717278691996,0.0070908437005226,0.4243673000801353,-0.8052434597734484,302.5850878241398,22.975354815097884,1.5722665647655296,0.3342922603819403,0.0082086364397368,-15.281589370179164,-7.952382479594082,True,False,True,False,False,False,False,2,True,0,False,False,True,0.1,0.0,0.1,4000.0
Achalpur,Rasegaon,21.1627319,77.480768,2025,,-4.326392288888007,30.85118269387289,-0.0468589814553475,0.5575325926971285,,,,,0.4437404669837551,960.5110001919212,89.67376987487062,27.11144039890864,-0.1390678213122042,0.1500611534481136,162.42448209798297,-4.815421321558804,-0.0012130327406152,71.82303587085774,109.66709003669204,,,,,79000810.61,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,Amravati,-7.985935115325284,-917.6050424192316,0.0109795876902426,0.4306936663147669,-0.7981881177655781,302.73591644966956,22.78775891181524,1.6734988685374168,0.3200499381737197,0.0063274698422201,-16.280151625061634,-8.294216509736343,True,True,True,False,False,False,False,3,True,0,False,False,True,0.1,0.0,0.1,4000.0
Amravati,Akoli,20.7104697,78.2953777,2025,,-3.562419298188477,31.796889925697304,-0.0499026794887923,0.5515036353819371,,,,,0.4333351870282841,1145.3039713273236,84.06939988677105,24.495470843555378,-0.2561802849342143,1.0188714851858838,129.1645304216467,-3.0647307047343153,0.069514108794112,111.80545602413888,105.99735799207392,,,,,96481.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,Amravati,-8.549614574228958,-922.3369270617465,0.010483684303772,0.4344607800795756,-0.8162685611460349,303.2524856698816,22.29420311116327,1.5629595527436058,0.3197979946353791,0.0020105484145433,-16.496763891266298,-7.947149317037334,True,False,False,False,True,False,False,1,False,1,False,False,False,0.0,0.0,0.0,0.0
Amravati,Amravati,21.1545412,77.6442962,2025,,-4.212763592275283,31.785707037437888,-0.0201957975867459,0.5513938027049776,,,,,0.4478728575032029,977.2641558991836,88.60471462852304,26.638639250929273,-0.1361228362652263,0.3184491601185714,157.82858031884658,-4.239540270236431,0.0245864701453912,80.8557432871376,108.43782054298217,,,,,23575447.15,2.0,2.0,0.0,,,,0.0084834021907406,0.0084834021907406,0.0,,,,Amravati,-8.21019404535681,-918.437197840147,0.0111304298998074,0.4345859299093407,-0.7739005484708228,302.79508315026914,23.191977577078777,2.1789841420118345,0.3098352678365181,0.0021832273260866,-17.092691139790446,-8.882497094433624,True,False,False,False,False,False,False,1,False,0,False,False,False,0.0,0.0,0.0,0.0
Amravati,Badnera,20.9185307,77.7539189,2025,,-4.646671465094077,30.47728434529047,-0.012213170231813,0.4400384454705366,,,,,0.4388593941881883,1021.8022762043458,87.50782133433849,26.819308330192246,-0.1741184004114719,0.4997173011684886,141.68925388095238,-5.647373960393002,0.0338320580474934,92.62718180898432,115.1633056916698,,,,,49620180.7,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,Amravati,-4.56188877869761,-895.3111089624371,0.0141996019252047,0.4399759740274132,-0.8001264298191318,302.9608963448864,22.95489088575096,1.948463414634146,0.3035839397068456,0.0032526487705732,-14.074331568529097,-9.51244278983148,True,False,True,False,True,False,True,2,True,2,True,False,True,0.1,0.05106016247314467,0.1,4000.0
Amravati,Dawargaon,21.4205822,78.2500305,2025,,-3.146515211005172,30.583613228308476,-0.0227263471413363,0.520660593963304,,,,,0.4075767677716082,1130.6528351992772,86.36083975201956,23.300159684388507,-0.165133857723662,1.2795885778696223,161.96477766879323,-2.9897217470372976,-0.0977019608303588,47.2644580953149,111.09256997933498,,,,,88868420.12,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,Amravati,-7.751375697406586,-918.3966217987684,0.0124571009248283,0.4332277908006823,-0.8353775939104299,302.646573680489,22.691611378625044,1.9443467277059836,0.3383249719925512,0.0005360881404479,-15.607029872923086,-7.855654175516504,True,False,False,False,True,False,False,1,False,1,False,False,False,0.0,0.0,0.0,0.0
